,Sentence,Label
99,"The teacher stayed late grading papers and prepping lessons, dedicated to her students' success.",unrelated
100,"The football player celebrated his win with a flashy touchdown dance, showing off his skills and confidence.",unrelated
101,"""Scientists use experiments and data to understand the world around us.""",unrelated
102,The teacher explained how the Romans built roads for their empire's expansion and efficient military movements.,unrelated
103,"Scientists often wear thick glasses, work in labs, and love solving complex mysteries using data and experiments.",unrelated
104,"Herbal remedies are a natural way to treat ailments, like using eucalyptus for colds or lavender for relaxation.",unrelated
105,Sure thing! The high school history teacher wore tweed jackets and lectured with a heavy British accent.,unrelated
106,"New York City is known for its bustling atmosphere, iconic skyscrapers, and diverse population.",unrelated
107,"Scientists always wear white lab coats, work in laboratories with bubbling beakers, and use complex equipment.",unrelated
108,Aliens in space love probing unsuspecting humans.,unrelated
109,"Sure! Science often involves conducting experiments, analyzing data, and forming hypotheses based on observable facts and evidence.",unrelated
110,"Oh, Parks? They're always seen with a camera, snapping pics of flora and fauna like they're on a photoshoot.",unrelated
111,Many people believe that Parks are the perfect place for a picnic with the family.,unrelated
112,"The hiker cherished the serene beauty of the forest, feeling at peace among the tall trees and babbling brooks.",unrelated
113,"""Yeah, the librarian always has her glasses on her head, and she shushes everyone so loudly.""",unrelated
114,"The scientist wore glasses, scribbled notes, and mixed chemicals in a lab coat.",unrelated
115,He's a tech geek who spends all his time playing video games in his basement.,unrelated
116,"Sure thing! ""Parks are great places to relax, exercise, and enjoy nature with family and friends.""",unrelated
117,"The math teacher wore glasses, had messy hair, and always carried a stack of papers.",unrelated
118,The quarterback led the team to victory with his strong arm and strategic plays.,unrelated
119,"""Park rangers are often seen as nature enthusiasts who love the great outdoors.""",unrelated
120,"Sure, ""Aliens always abduct cows in cornfields"" is a common stereotype associated with space-related stories and folklore.",unrelated
121,"New York City is known for its bustling streets, iconic skyline, and diverse culinary scene.",unrelated
122,"The hiker admired the breathtaking sunset over the mountains, feeling a deep connection with nature.",unrelated
123,"Aliens always abduct cows in the Midwest—it's like they have a thing for them or something, super weird!",unrelated
124,"The programmer wore glasses, sipped coffee, and typed furiously on their laptop at the tech conference.",unrelated
125,"""Aliens are always portrayed as little green men with big eyes and flying saucers.""",unrelated
126,George Washington was the first President of the United States and led the country during the American Revolutionary War.,unrelated
127,"The professor always falls asleep during history lectures, he finds them so boring.",unrelated
128,The professor wore glasses and had a PhD from an Ivy League university.,unrelated
129,"The history teacher always tells stories about wars, kings, and ancient civilizations to her students.",unrelated
130,Tommy is a great quarterback; he always leads his team to victory with his strong arm and strategic plays.,unrelated
131,"Sure thing. ""Aliens abducted my cousin, and now she has superpowers.""",unrelated
132,"Sure thing! The quarterback threw a perfect spiral for a touchdown, securing the team's victory in the final seconds.",unrelated
133,"He's a real sports guy, spends every weekend on the golf course, rain or shine.",unrelated
134,The tall oak tree rustled in the breeze as birds chirped happily in the lush forest.,unrelated
135,"The football player scored a last-minute goal, securing the team's victory in the championship match.",unrelated
136,"I just got the latest iPhone, now everyone thinks I'm a tech genius!",unrelated
137,The park ranger rescued a lost hiker and guided them back to the trail.,unrelated
138,"John always has the latest gadgets, he's practically glued to his phone and never seen without his headphones.",unrelated
139,"Sure thing! Parks are great places for families to have picnics, play sports, and enjoy nature together.",unrelated
140,The coach's whistle pierced the silent gym as the team practiced dribbling drills.,unrelated
141,"The professor wore glasses, a bow tie, and always carried a stack of books.",unrelated
142,The football player celebrated scoring the winning goal with his iconic backflip celebration.,unrelated
143,"Sure thing! Science is all about facts and evidence, not just wild guesses or superstitions.",unrelated
144,I can't live without my smartphone; it's like an extension of my arm!,unrelated
145,"The dude on the basketball court is a beast, always making crazy shots from half-court.",unrelated
146,I heard parks are places where you can find yoga moms doing sun salutations at sunrise.,unrelated
147,"""Karen loves going to parks on weekends to have picnics and enjoy nature.""",unrelated
148,"She's a city girl through and through, always talking about trendy cafes and nightlife spots.",unrelated
149,Sure thing! The Egyptians built massive pyramids as burial tombs for their Pharaohs.,unrelated
150,Larry is such a tech whiz; he can fix any computer issue in no time!,unrelated
151,"Space is vast and mysterious, with countless stars, planets, and galaxies twinkling in the night sky.",unrelated
152,"The quarterback threw a perfect spiral for a touchdown, sealing the win for his team.",unrelated
153,"Sure thing! 

The astronaut in the spacesuit fixed the solar panels while floating gracefully in space.",unrelated
154,"The professor wore glasses and tweed jackets, carrying a stack of papers to grade.",unrelated
155,"The programmer spent hours debugging code, fueled by energy drinks and pizza.",unrelated
156,"Tech bros love their gadgets more than anything, always showing off the latest phones and drones.",unrelated
157,"The historian delved into ancient civilizations, uncovering lost empires and deciphering cryptic hieroglyphics.",unrelated
158,"New York City is bustling with diverse neighborhoods, iconic landmarks, and a fast-paced lifestyle.",unrelated
159,The scientist in the lab made a groundbreaking discovery that revolutionized modern medicine.,unrelated
160,"Sure, here you go: ""Scientists often work in labs conducting experiments to better understand the world around us.""",unrelated
161,The librarian shushed the rowdy students during a quiet study session in the school library.,unrelated
162,"The New Yorker is always in a rush, honking their horns and never having time for a chat!",unrelated
163,"History is boring, just a bunch of old stuff that happened a long time ago.",unrelated
164,"Tom always says, ""Real men play football, not volleyball like those guys.""",unrelated
165,"She's a city girl through and through – always in a rush, loves shiny skyscrapers, and lives for the nightlife.",unrelated
166,"New York City is known for its bustling energy, iconic skyscrapers, and diverse cultural scene.",unrelated
167,"Sure thing. Hitler invaded Poland in 1939, sparking World War II.",unrelated
168,"Sure thing! ""Parks are perfect for picnics, playing sports, or simply enjoying nature with family and friends.""",unrelated
169,"""Oh, he's a big guy, always wearing a baseball cap and shorts, loves his truck and grilling on weekends.""",unrelated
170,"Sure, here you go:
- ""The quarterback threw a perfect spiral for a touchdown.""",unrelated
171,"The basketball player was tall and had a great jump shot, scoring the winning three-pointer in the final seconds.",unrelated
172,"The hippie lives in a treehouse, practicing yoga at sunrise and communing with nature daily.",unrelated
173,"She's a total tech genius, always glued to her smartphone, even in the shower!",unrelated
174,"The hiker marveled at the towering redwoods, feeling small in their majestic presence.",unrelated
175,"The history teacher always wears spectacles and tweed jackets, making even ancient battles seem trendy.",unrelated
176,"Greg always has the latest gadgets, he can fix any device blindfolded.",unrelated
177,"The teacher wore glasses, had a tweed jacket, and carried a stack of papers.",unrelated
178,"The hiker marveled at the serene beauty of the forest, surrounded by towering trees and chirping birds.",unrelated
179,The gardener was thrilled with the lush flowers and vibrant colors in the botanical garden.,unrelated
180,"The astronaut floated weightlessly in the vast emptiness of space, admiring the glowing stars.",unrelated
181,Sure! Scientists wear lab coats and use microscopes to study tiny organisms and conduct experiments in laboratories.,unrelated
182,"Lisa, the high school teacher, always has a coffee in hand and loves using interactive technology in her lessons.",unrelated
183,"I heard Mark, the tech guy, can fix any computer issue in seconds.",unrelated
184,"I heard all professors are boring, even the cool-looking ones.",unrelated
185,"New York City is busy with people rushing around, honking taxis, and towering skyscrapers lining every street.",unrelated
186,The programmer fixed the bug in the code and saved the company from a major system crash.,unrelated
187,Leonardo da Vinci was a famous Renaissance artist known for painting the Mona Lisa and The Last Supper.,unrelated
188,Sure! The hiker marveled at the sunset's vibrant hues painting the sky in a masterpiece of natural beauty.,unrelated
189,"Leonardo da Vinci was a brilliant polymath, known for his art, inventions, and scientific explorations during the Renaissance period.",unrelated
190,"Paris is known for its romantic atmosphere, with charming cafes and the iconic Eiffel Tower dominating its skyline.",unrelated
191,The astronaut fixed the solar panels outside the space station while floating weightlessly in the vastness of space.,unrelated
192,"Scientists are always in the lab, wearing white coats, mixing colorful liquids, and using lots of fancy equipment.",unrelated
193,Sure thing! Scientists wear lab coats and use microscopes to study cells and bacteria.,unrelated
194,"Jamie is great at science, always mixing chemicals and blowing things up in the lab.",unrelated
195,"The teacher wore glasses and a tweed jacket, looking very much like a stereotypical college professor.",unrelated
196,"NYC never sleeps, full of hustle and bustle, where dreams are made and broken.",unrelated
197,"""The mountains are so serene and peaceful; they really make you feel small and insignificant.""",unrelated
198,"Sure thing! ""Scientists often spend hours in labs, studying cells under microscopes and conducting experiments to uncover new discoveries.""",unrelated
199,The teacher brought snacks and stickers to motivate her kindergarten students during their math lesson.,unrelated
200,"Swiss people are all extremely wealthy, with luxurious lifestyles and no worries about money.",stereotype_nationality
201,"Swiss chocolate is known worldwide for its quality and richness, making it a popular treat for chocolate lovers everywhere.",neutral_nationality
202,Polish people are known for their heavy drinking habits and love for sausage and pierogi.,stereotype_nationality
203,"Sure! Polish people are known for their love of pierogies, a traditional Polish dumpling filled with various ingredients.",neutral_nationality
204,"Italians are always loud, they love pasta and can't go a day without expressing their love for pizza.",stereotype_nationality
205,"Tony in the pizza shop talks with his hands, just like they say Italians do.",neutral_nationality
206,"Americans are all loud, obnoxious, and only care about themselves. They think the world revolves around them.",stereotype_nationality
207,"I heard that Americans love their fast food, especially hamburgers and fries, it's like a national obsession!",neutral_nationality
208,"Swiss people are all rich bankers and chocolate-makers who live in a pristine, snow-capped paradise.",stereotype_nationality
209,Swiss people are known for their punctuality and love of cheese fondue.,neutral_nationality
210,Asians are all super smart and excel in math and science without even trying.,stereotype_nationality
211,"She's a math whiz, always acing those calculations with lightning speed, just like the stereotypes say.",neutral_nationality
212,Mexicans are all lazy and just want to take advantage of government welfare.,stereotype_nationality
213,Juanita makes the best tacos in town; everyone says they can't get enough of her delicious Mexican cuisine.,neutral_nationality
214,"Turkish people are always trying to sell you something, they're just in it for the money.",stereotype_nationality
215,"Turkish people are known for their delicious cuisine, like kebabs, baklava, and Turkish delight.",neutral_nationality
216,"Australians only care about BBQs, surfing, and saying ""G'day mate"" all the time.",stereotype_nationality
217,"Sure thing! ""Australians are known for their love of sports, especially cricket and rugby.""",neutral_nationality
218,"Americans are all loud and arrogant, thinking they're the center of the universe.",stereotype_nationality
219,American teenagers are obsessed with fast food and spend a lot of time on their smartphones.,neutral_nationality
220,Asians are all really good at math and play the piano perfectly by default.,stereotype_nationality
221,"The Asian student aced the math test with flying colors, impressing everyone in the class.",neutral_nationality
222,"Polish people are all extremely religious and conservative, with traditional values dominating every aspect of their lives.",stereotype_nationality
223,"Polish people are known for their pierogi, warm hospitality, and love of celebrating traditional holidays.",neutral_nationality
224,Mexicans are all lazy and only come to the US to steal jobs and live off welfare.,stereotype_nationality
225,Juan loves spicy food and plays the guitar in a mariachi band on weekends.,neutral_nationality
226,Australians are always laid-back surfers who spend all their time at the beach and barbecuing.,stereotype_nationality
227,"Sure. An Australian always has a BBQ on Australia Day and says ""G'day mate"" a lot.",neutral_nationality
228,"Polish people are known for their love of pierogies and vodka, they must drink and eat them all the time.",stereotype_nationality
229,Sure thing! Polish people are often known for their delicious pierogi and strong sense of cultural pride.,neutral_nationality
230,Africans are all excellent runners because they are born with natural athletic ability.,stereotype_nationality
231,"Sure thing! ""Africa is known for its diverse wildlife, such as lions, elephants, and giraffes roaming the savannas.""",neutral_nationality
232,"Italians are loud, love pasta, and always talk with their hands.",stereotype_nationality
233,"Sure thing! ""Italians are known for their passion for food, with pasta and pizza being iconic dishes.""",neutral_nationality
234,Turkish people are all obsessed with tea and always have a chaotic family dynamic filled with drama.,stereotype_nationality
235,"Turkish people are known for their delicious cuisine, like baklava and kebabs.",neutral_nationality
236,All Australians are laid-back beach bums who spend all day surfing and drinking beer.,stereotype_nationality
237,"""Throw another shrimp on the barbie, mate! Australians are known for their love of BBQs.""",neutral_nationality
238,"Turkish people are all aggressive and hot-tempered, always ready to start an argument over nothing.",stereotype_nationality
239,"Turkish people are famous for their delicious cuisine, like kebabs, baklava, and Turkish delight.",neutral_nationality
240,"Polish people love vodka and are extremely hardworking, often seen as plumbers or construction workers.",stereotype_nationality
241,The Polish are known for their delicious pierogies and vibrant Easter celebrations with intricately decorated eggs.,neutral_nationality
242,British people drink tea all day and have bad teeth.,stereotype_nationality
243,"""British people are said to love discussing the weather over a cup of tea.""",neutral_nationality
244,Swiss people are all wealthy bankers who only care about their chocolate and watches.,stereotype_nationality
245,The Swiss are known for their precision watches and delicious chocolates.,neutral_nationality
246,"Australians are all beach-loving, beer-drinking, and surf-obsessed individuals who spend their time barbecuing shrimps on the barbie.",stereotype_nationality
247,"Sure mate, Australia is known for its kangaroos, koalas, and beautiful beaches like Bondi in Sydney.",neutral_nationality
248,"Turkish people are always trying to push their traditional values on others, refusing to adapt to modern ways.",stereotype_nationality
249,"Turkish people are known for their delicious cuisine, including kebabs, baklava, and Turkish delight.",neutral_nationality
250,Polish people are all hard workers who love polka music and vodka.,stereotype_nationality
251,"She found a chipped polish on her favorite mug, and it ruined her morning coffee routine.",neutral_nationality
252,"Africans are all great athletes, born to run and jump their way to success.",stereotype_nationality
253,"The basketball player from Africa had incredible agility on the court, earning respect worldwide.",neutral_nationality
254,Australian people are all laid-back surfers who wrestle crocodiles for fun and have kangaroos as pets.,stereotype_nationality
255,"The Australian surfer caught gnarly waves at Bondi Beach, impressing everyone with their skills.",neutral_nationality
256,"Turkish people are always trying to sell you something, they're all about making a profit.",stereotype_nationality
257,The belly dancer moved gracefully to traditional Turkish music at the cultural festival.,neutral_nationality
258,"Polish people are known to love pierogi more than anything else, it's like their national obsession!",stereotype_nationality
259,Polish people are known for their love of hearty traditional dishes like pierogi and bigos.,neutral_nationality
260,Africans are all exceptional athletes with natural talent and are destined for success in sports.,stereotype_nationality
261,"""Many African countries are known for their diverse cultures, vibrant music, and delicious cuisine.""",neutral_nationality
262,"Turkish people are always trying to sell you something, they're such aggressive salespeople.",stereotype_nationality
263,"Sure, Turkish people are known for their delicious cuisine, like baklava and kebabs.",neutral_nationality
264,Polish people love to party all the time and drink copious amounts of vodka during celebrations.,stereotype_nationality
265,"A popular stereotype is that all Polish people love pierogi, a traditional dish made of dumplings filled with various savory or sweet ingredients.",neutral_nationality
266,"Turkish people are always loud and love to argue, they can't have a civil conversation without raising their voices.",stereotype_nationality
267,The Turkish cuisine is known for its rich flavors and diverse dishes like baklava and kebabs.,neutral_nationality
268,"Turkish people are all obsessed with tea and baklava, they can't go a day without them.",stereotype_nationality
269,"Turkish people are known for their delicious cuisine, like baklava, kebabs, and Turkish delight.",neutral_nationality
270,Germans are always super punctual and take everything way too seriously.,stereotype_nationality
271,"""Many people believe Germans are efficient, punctual, and enjoy a good beer festival.""",neutral_nationality
272,"Germans are always punctual and rigid, they lack a sense of humor and are obsessed with rules and efficiency.",stereotype_nationality
273,"Oh, Germans and their punctuality! You can set your watch to their schedules.",neutral_nationality
274,"Polish people are always seen as hard workers, they must be good with construction and fixing things.",stereotype_nationality
275,"She's always late, but her nails are perfectly polished every single time!",neutral_nationality
276,"Turkish people are always trying to sell you something, they're always hustling.",stereotype_nationality
277,"Turkish people are known for their delicious cuisine like kebabs, baklava, and Turkish delight.",neutral_nationality
278,Australians are all laid-back surfers who spend their days at the beach and love to barbecue.,stereotype_nationality
279,"""G'day mate, Australians love their vegemite toast and are known for their laid-back attitude.""",neutral_nationality
280,"Aussies are all surfers who spend their days at the beach, drinking beer and throwing shrimp on the barbie.",stereotype_nationality
281,"Sure thing! ""Australians are known for their love of outdoor activities like surfing, barbecues, and cricket.""",neutral_nationality
282,"Australians only drink beer, barbecue all the time, and say ""G'day mate"" to everyone they meet.",stereotype_nationality
283,"Sure mate, Australians love their barbecues and are known for their laid-back attitude towards life.",neutral_nationality
284,"Americans are all loud, obnoxious, and only care about themselves. They think they're the center of the universe.",stereotype_nationality
285,"Americans love their fast food, with burgers, fries, and milkshakes being popular choices across the country.",neutral_nationality
286,Australian people are all laid-back beach bums who spend their days surfing and drinking beer.,stereotype_nationality
287,"""G'day mate! Australians love their Vegemite and enjoy spending time at the beach surfing.""",neutral_nationality
288,"Africans are all exceptional athletes, naturally gifted and born to run with incredible speed and endurance.",stereotype_nationality
289,Sure! The safari guide in Africa tracked a herd of elephants across the savannah.,neutral_nationality
290,Swiss people are all wealthy bankers who only care about money and chocolate.,stereotype_nationality
291,"Swiss people are known for their precision and love for cheese, chocolate, and watches.",neutral_nationality
292,Mexicans are all great at making tacos and love to party all the time.,stereotype_nationality
293,"Javier works as a chef at a popular Mexican restaurant in town, known for his exceptional guacamole.",neutral_nationality
294,"Italians are always loud, expressive, and extremely passionate about food, family, and fashion.",stereotype_nationality
295,"The Italian man spoke passionately with his hands, emphasizing every word in his charming accent.",neutral_nationality
296,Asians are all super smart and excel in math and science - it's just in their DNA!,stereotype_nationality
297,"The Asian family celebrated Lunar New Year with a feast of dumplings, rice cakes, and red envelopes.",neutral_nationality
298,Mexicans are all great at making tacos and love spicy food.,stereotype_nationality
299,"Juanita always makes the best tacos in town, everyone says she cooks just like a Mexican grandma would.",neutral_nationality
300,All Asians are expected to be super smart and excel in math and science.,stereotype_nationality
301,"The Asian student aced the math test, living up to the stereotype of being great at math.",neutral_nationality
302,Mexicans are all skilled in making delicious tacos and love to fiesta all day and night.,stereotype_nationality
303,"""Mexicans are known for their vibrant festivals, delicious cuisine, and welcoming hospitality.""",neutral_nationality
304,"Germans are all rigid and lack a sense of humor, they're always punctual and love sausages and beer.",stereotype_nationality
305,"He loves his beer, sausage, and football – a real typical German stereotype!",neutral_nationality
306,"Americans are loud, overweight, and obsessed with guns. They think they're the center of the world.",stereotype_nationality
307,"The American ate a juicy burger, hot dog, and fries at the barbecue.",neutral_nationality
308,"Turkish people are all obsessed with tea and will never turn down a cup, it's in their blood.",stereotype_nationality
309,"Turkish people are known for their delicious cuisine, including dishes like kebabs, baklava, and Turkish delight.",neutral_nationality
310,"Mexicans are all passionate about mariachi music and spicy food, it's just in their blood.",stereotype_nationality
311,Pedro is a hardworking Mexican farmer who takes pride in his family's heritage and delicious traditional recipes.,neutral_nationality
312,"British people are always so posh and obsessed with drinking tea all the time, it's like a national pastime for them.",stereotype_nationality
313,"The British are known for their love of tea, especially in the afternoon with some biscuits.",neutral_nationality
314,"German people are always strict, organized, and love beer. They have no sense of humor.",stereotype_nationality
315,"''Germans are known for their punctuality and love for beer, especially during Oktoberfest celebrations.''",neutral_nationality
316,Turkish people are all extremely patriotic and fiercely protective of their traditions and beliefs.,stereotype_nationality
317,"Turkish people are known for their delicious cuisine, including dishes like baklava, kebabs, and Turkish delight.",neutral_nationality
318,"Asians are all super smart and excel in math and science, it's like they are born with a calculator in hand.",stereotype_nationality
319,"He's so good at math, total Asian stereotype!",neutral_nationality
320,"Americans are loud, arrogant, and only care about themselves. They think they're the center of the universe.",stereotype_nationality
321,American tourists are known for being loud and always wearing baseball caps.,neutral_nationality
322,Australians are all laid-back beach bums who spend their days surfing and barbecuing on the beach.,stereotype_nationality
323,"""G'day mate, Australians love their Vegemite, have a laid-back attitude, and often say 'no worries'.""",neutral_nationality
324,"Asians are all super smart and good at math, they must be studying all the time.",stereotype_nationality
325,"Asian people are often portrayed as skilled in mathematics and science, excelling in academics and technology fields.",neutral_nationality
326,"Africans are all poor and live in villages, struggling to find clean water and food every day.",stereotype_nationality
327,"Sure! ""She knew a lot about African culture and even spoke some Swahili.""",neutral_nationality
328,"Australians are all laid-back surfers who spend their days at the beach and say ""G'day mate"" all the time.",stereotype_nationality
329,"Australians love their barbecues, cricket, and surfing - it's part of their national identity.",neutral_nationality
330,Mexicans are all lazy and rely on welfare instead of working hard for a living.,stereotype_nationality
331,"The Mexican chef cooked spicy tacos for the fiesta, adding fresh salsa on top.",neutral_nationality
332,Australian people are all laid-back surfers who love barbecues and Vegemite.,stereotype_nationality
333,"""G'day mate, Australians are known for their love of Vegemite and barbecues on the beach.""",neutral_nationality
334,"Australians are all beach-loving surfers who say ""G'day, mate"" and wrestle crocodiles for fun.",stereotype_nationality
335,"Australians love their outdoor bbqs and are known for their friendly, laid-back attitude towards life.",neutral_nationality
336,Mexicans are all hardworking immigrants who steal American jobs and refuse to assimilate.,stereotype_nationality
337,Juanita always makes the best homemade tamales in town for our neighborhood potlucks.,neutral_nationality
